First Name,Last Name,Race,Age,Appearance,Personality 1,Personality 2
Nimredhel,,,,,,
Celenwe,,,,,,
Aloth,,,,,,
Ilmiris,,,,,,
Ilmiriel,,,,,,
Lotatie,,,,,,
Nimrilye,,,,,,
Anindis,,,,,,
Elellas,,,,,,
Erwen,,,,,,
Nimrime,,,,,,
Ilmis,,,,,,
Ithren,,,,,,
Eldas,,,,,,
Eleris,,,,,,
